"number_invariant_sites","number_invariant_sites_excluding_ambiguous","max_gc","max_gc_excluding_ambiguous","max_invariant_block_length","max_invariant_block_length_excluding_ambiguous","max_pairwise_difference","max_pairwise_difference_excluding_ambiguous","max_variable_block_length","max_variable_block_length_excluding_ambiguous","min_gc","min_gc_excluding_ambiguous","min_pairwise_difference","min_pairwise_difference_excluding_ambiguous","number_invariable_block","number_invariable_block_excluding_ambiguous","mean_gc","mean_gc_excluding_ambiguous","mean_gc_1","mean_gc_1_excluding_ambiguous","mean_gc_2","mean_gc_2_excluding_ambiguous","mean_gc_3","mean_gc_3_excluding_ambiguous","var_gc","var_gc_excluding_ambiguous","var_gc_1","var_gc_1_excluding_ambiguous","var_gc_2","var_gc_2_excluding_ambiguous","var_gc_3","var_gc_3_excluding_ambiguous","theta","tajima_d","tajima_pi","segregating_sites"
0,0,0,0,0,0,103,161,162,162,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,1.992376,0.296463
0,0,0,0,0,0,97,160,162,162,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,1.868202,0.2894573
0,0,0,0,0,0,107,161,162,162,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.069425,0.30081
0,0,0,0,0,0,101,161,162,162,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.140682,0.3048303
0,0,0,0,0,0,99,161,162,162,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.231527,0.3099556
0,0,0,0,0,0,106,162,162,162,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.208865,0.3086771
0,0,0,0,0,0,103,161,162,162,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.219547,0.3092797
0,0,0,0,0,0,97,162,162,162,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.08815,0.3018665
0,0,0,0,0,0,97,162,162,162,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.169904,0.3064789
0,0,0,0,0,0,100,161,162,162,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.291772,0.3133546
0,0,0,0,0,0,95,162,162,162,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.197588,0.3080408
0,0,0,0,0,0,105,162,162,162,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.278837,0.3126249
0,0,0,0,0,0,96,162,162,162,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.22494,0.3095841
0,0,0,0,0,0,101,162,162,162,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.315931,0.3147176
0,0,0,0,0,0,107,161,162,162,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.416303,0.3203805
0,0,0,0,0,0,97,161,162,162,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.30464,0.3140806
0,0,0,0,0,0,102,162,162,162,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1840554,162,2.456908,0.3226714
